Organization,Centre ID,Centre Name,Region,City,Postal Code,Last Order Date,Current Status,Multi-site,Monthly Usage,Annual Usage,Notes
Arbor Glen Community Child Care Centre,300,Arbor Glen Community Child Care Centre,Toronto,North York,M2H 3H6,2023-04-04,Inactive/New,No,0.00,0.00,
Angelic Treasures Christian Daycare - Mississauga,305,Angelic Treasures Christian Daycare - Mississauga,Peel,Mississauga,L5W 1G7,2023-03-15,Inactive/New,No,0.00,0.00,
Kids and Company Ltd. - Peel,306,Kids and Company - Robert Speck Parkway,Peel,Mississauga,L4Z3M3,,Inactive/New,Yes,0.00,0.00,
Kids and Company Ltd. - Halton,307,Ford Child Care,Halton,Oakville,L6J5E4,,Inactive/New,Yes,0.00,0.00,
The Alderbuds Child Care,310,The Alderbuds Child Care,Toronto,Etobicoke,M9C 2X2,2025-05-30,Active,No,22.42,542.82,
Kids Korner Daycare,312,Kids Korner Daycare,Toronto,Toronto,M6H 3A2,2025-02-26,Dormant 2,No,7.50,7.50,
Nsheemaehn,318,Nsheemaehn,Toronto,Toronto,M1C 1A3,2025-05-23,Active,No,44.08,387.25,
Fraser School Community Daycare,320,Fraser School Community Daycare,Toronto,Toronto,M6J 2K6,2025-01-30,Dormant 3,No,0.00,7.00,
Dian Child Care Centre,321,Dian Child Care Centre,Toronto,Scarborough,M1L 3G1,,Inactive/New,No,0.00,0.00,
Sunnyside Day Care,322,Sunnyside Day Care - Keele Location,Toronto,Toronto,M6P 2K3,,Inactive/New,No,0.00,0.00,
Sunnyside Day Care,323,Sunnyside Day Care,Toronto,Toronto,M6R 1M4,2023-05-19,Inactive/New,No,0.00,0.00,
Dunlace Childrens Centre,324,Dunlace Childrens Centre,Toronto,North York,M2L2S1,2024-12-13,Dormant 4,No,0.00,11.08,
Knob Hill Day Nursery,328,Knob Hill Day Nursery,Toronto,Scarborough,M1J 1T3,,Inactive/New,No,0.00,0.00,
Dublin Heights Community Child Care,342,Dublin Heights Community Child Care,Toronto,North York,M3H 2K2,2022-09-16,Inactive/New,No,0.00,0.00,
Ferncliff Daycare and After School Group,349,Ferncliff Daycare and After School Group,Toronto,Toronto,M6R 1K3,,Inactive/New,No,0.00,0.00,
Queen Victoria Childcare Centre (formerly Parkdale Beach Childcare Centre),351,Queen Victoria Childcare Centre (formerly Parkdale Beach Childcare Centre),Toronto,Toronto,M6K 2V3,2025-03-13,Dormant 2,No,37.00,72.00,
Pleasant Child Care,353,St. Paschal Day Care,Toronto,Toronto,M2M1X6,,Inactive/New,No,0.00,0.00,
Pleasant Child Care,354,Pleasant Child Care,Toronto,Toronto,M2R2R1,,Inactive/New,No,0.00,0.00,
Yonge Hearts Child Care Centre,356,Yonge Hearts Child Care Centre,Toronto,North York,M2N 5P6,,Inactive/New,No,0.00,0.00,
Learning Jungle Peel,358,Learning Jungle - Cooksville,Peel,Mississauga,L5B 1J7,2025-04-24,Active,Yes,7.75,621.33,
Brightpath - Halton,359,Brightpath Appleby Childcare Centre,Halton,Burlington,L7L 6J9,,Inactive/New,Yes,0.00,0.00,
The Family Place,361,The Family Place - Oakville Centre,Halton,Oakville,L6M 2Z4,,Inactive/New,No,0.00,0.00,
The Family Place,362,The Family Place - Milton Centre,Halton,Milton,L9T 6H7,2024-04-10,Dormant 4,No,0.00,0.00,
Palmerston Community Daycare Centre,367,Palmerston Community Daycare Centre,Toronto,Toronto,M6G 2R4,2024-11-27,Dormant 4,No,0.00,56.50,
The Salvation Army,369,Agincourt Temple Child Care Centre,Toronto,Scarborough,M1W 3K3,2024-10-25,Dormant 4,Yes,0.00,28.50,
Wee Care Educational Services Inc.,374,Plains Road,Halton,Burlington,L7T 1E8,,Inactive/New,No,0.00,0.00,
Tanglewood School,383,Tanglewood School,Halton,Oakville,L6L 5H7,,Inactive/New,No,0.00,0.00,
Bessborough Child Care Centre,385,Bessborough Child Care Centre,Toronto,East York,M4G 3K2,,Inactive/New,No,0.00,0.00,
The Salvation Army,387,Salvation Army Mississauga Temple Day Care,Toronto,Mississauga,L5A 2X4,,Inactive/New,Yes,0.00,0.00,
Summerhill Day School Ltd.,388,Summerhill Day School,Halton,Burlington,L7M 3W7,,Inactive/New,No,0.00,0.00,
Birdland Childrens Centre,391,Birdland Childrens Centre,Halton,Burlington,L7T4H8,,Inactive/New,No,0.00,0.00,
West Oakville Preschool Centre Inc.,393,West Oakville Preschool,Halton,Oakville,L6M4H9,,Inactive/New,No,0.00,0.00,
