Organization,Centre ID,Centre Name,Region,City,Postal Code,Last Order Date,Current Status,Multi-site,Monthly Usage,Annual Usage,Notes
Glebe Cooperative Nursery School,10010,Glebe Cooperative Nursery School,Ottawa,Ottawa,K1S 2K2,2025-05-02,Active,No,55.50,171.50,
Zida Group Inc.,10015,Zida Academy,Ottawa,Stittsville,K2S 1N9,2025-02-19,Dormant 3,No,2.92,375.25,
Kinder Kids International Preschool - Halton,10030,Kinder Kids International Academy,Halton,Oakville,L6J 7T5,2025-05-05,Active,No,11.75,493.83,
Charlotte Birchard Centres of Early Learning,10035,Greenboro Children's Centre,Ottawa,Ottawa,K1T 2Y9,2025-05-30,Active,No,61.33,967.34,
Bridlegrove Daycare Centre,10040,Bridlegrove Daycare Centre,Toronto,Scarborough,M1W 2K2,2023-03-23,Inactive/New,No,0.00,0.00,
Devonshire Childcare Centre,10045,Devonshire Childcare Centre,Ottawa,Ottawa,K1Y 2H5,2025-04-09,Dormant 1,No,8.17,196.50,
Willowbrae Academy - Halton,10055,Willowbrae Academy Oakville,Halton,Oakville,L6H 0N1,2023-06-02,Inactive/New,Yes,0.00,0.00,
New Toronto Cooperative Nursery School,10060,New Toronto Cooperative Nursery School,Toronto,Toronto,M8V 2A1,2023-05-23,Inactive/New,No,0.00,0.00,
Step by Step Learning Academy Inc.,10065,Step by Step Learning Academy,York Region,Richmond Hill,L4B 3M9,2025-04-08,Dormant 1,No,6.08,18.25,
Vinci School,10075,Vinci School,Ottawa,Ottawa,K1L 1V2,2024-12-10,Dormant 4,No,0.00,10.50,
East York Montessori Inc.,10080,East York Montessori,Toronto,Toronto,M4J 2N5,2023-05-05,Inactive/New,No,0.00,0.00,
Apple Day Care,10085,Apple Day Care,Toronto,Scarborough,M1J 2J1,2025-04-03,Dormant 1,No,46.25,107.75,
Guildwood ChildCare,10090,Guildwood ChildCare,Toronto,Scarborough,M1J 3H8,2025-04-29,Active,No,53.94,502.25,
Ottawa City Hall,10095,Ottawa City Hall - Jean Pigott Hall,Ottawa,Ottawa,K1P 1J1,2023-09-13,Inactive/New,No,0.00,0.00,
Centre for Immigrant and Community Services - York,10100,Centre for Immigrant and Community Services - Richmond Hill,York Region,Richmond Hill,L4C 0A8,2023-06-29,Inactive/New,No,0.00,0.00,
"Sisters of the Addolorata, Servant of Mary",10105,St. Anthony's Children Centre,Ottawa,Ottawa,K1R 7K7,2024-12-12,Dormant 4,No,0.00,183.49,
Centre for Immigrant and Community Services - Toronto,10110,Brighton Convention Centre,Toronto,Scarborough,M1V 5P1,2023-05-26,Inactive/New,No,0.00,0.00,
Cardinal Leger Child Care Centre,10115,Cardinal Leger Child Care Centre,Toronto,Toronto,M1E 4Y1,2024-08-28,Dormant 4,No,0.00,5.50,
Native Child - Toronto,10120,Kiiwednong Aboriginal Head Start,Toronto,Toronto,M6M 4R3,2025-05-23,Active,Yes,27.67,222.50,
Beacon Learning Centre,10125,Beacon Learning Centre,Ottawa,Gloucester,K1J 7N4,2023-06-26,Inactive/New,No,0.00,0.00,
The Little School Daycare,10130,The Little School Daycare,Ottawa,Orleans,K4A 0Z9,2025-02-04,Dormant 3,No,4.50,4.50,
Mini-Skool - A Childs Place Inc.,10135,Mini-Skool - Church Street Brampton,Peel,Brampton,L6V 1H1,2025-04-28,Active,Yes,74.80,1179.08,
St. Thomas the Apostle Nursery School,10140,St. Thomas the Apostle Nursery School,Ottawa,Ottawa,K1H 7M6,2025-01-08,Dormant 4,No,0.00,144.83,
Community Connection,10150,Cumberland Hub Daycare,Ottawa,Orleans,K1E 3K9,2023-08-11,Inactive/New,No,0.00,0.00,
2656729 Ontario Inc,10155,Eh to Zed Preschool Canada - Whitby Campus,Durham,Whitby,L1R 3N8,2023-09-06,Inactive/New,No,0.00,0.00,
Ballantrae Child Care Centre,10160,Ballantrae Child Care Centre,York Region,Stouffville,L4A 3K3,2023-08-25,Inactive/New,No,0.00,0.00,
Purple Tree Child Care Inc.,10165,Purple Tree Child Care Inc.,Toronto,Toronto,M4S 1W8,2025-04-08,Dormant 1,No,8.00,8.00,
Bayfair daycare,10170,Bayfair Daycare,Durham,Ajax,L1V 1A9,2023-09-01,Inactive/New,No,0.00,0.00,
White Pines Montessori Academy,10175,White Pines Montessori Academy,Peel,Mississauga,L5N 0A5,2023-11-17,Inactive/New,No,0.00,0.00,
Sunshine Childcare,10180,Sunshine Childcare - St. Vincent,Toronto,Toronto,M6R 1M2,2023-10-26,Inactive/New,No,0.00,0.00,
Macklin House KidZone,10185,Macklin House Kidzone - Romeo Dallaire,York Region,Vaughan,L6A 0S1,2024-10-11,Dormant 4,Yes,0.00,26.83,
All About Kids,10190,All About Kids - Goodwood,Durham,Uxbridge,L0C 1A0,2023-09-18,Inactive/New,No,0.00,0.00,
Carlton Preschool  ,10195,Carlton Preschool - Rainbow Kidschool,Ottawa,Ottawa,K1S 0C6,2024-08-23,Dormant 4,No,0.00,196.25,
Westboro Village Cooperative Preschool Inc.,10200,Westboro Village Cooperative Preschool,Ottawa,Ottawa,K2A 1V6,2024-03-05,Dormant 4,No,0.00,0.00,
Macklin House  KidZone,10205,Macklin House KidZone - Fossil Hill,York Region,Woodbridge,L4H 2P5,2025-02-03,Dormant 3,Yes,4.00,131.83,
Macklin House KidZone,10210,Macklin House KidZone - Thornhill,York Region,Thornhill,L4J 1V8,2025-05-20,Active,Yes,3.17,15.17,
REKSAP Centres For Early Learning,10215,REKSAP Centres For Early Learning - Severn,Ottawa,Ottawa,K2B 7V8,2024-08-22,Dormant 4,No,0.00,19.50,
Brown Bear Daycare,10225,Brown Bear Daycare,Ottawa,Ottawa,K2S 1A5,2025-01-10,Dormant 4,No,0.00,14.25,
Follow The Child,10230,Follow The Child,Toronto,Scarborough,M1K 1N8,2025-05-06,Active,No,46.83,264.66,
Canadian Mothercraft of Ottawa Carleton,10235,Mothercraft Ottawa - Elmdale,Ottawa,Ottawa,K1Y 3L9,2025-02-21,Dormant 2,No,67.50,176.00,
Canadian Mothercraft of Ottawa Carleton,10240,Mothercraft Ottawa - Evered Ave.,Ottawa,Ottawa,K1Z 5K9,2025-05-30,Active,No,400.11,6279.33,
REKSAP Centres For Early Learning,10245,REKSAP Centres For Early Learning - Regina,Ottawa,Ottawa,K2B 8B6,2024-07-26,Dormant 4,No,0.00,12.50,
Centretown Parents Daycare - Preschool and EDP,10250,Centretown Parents Daycare - Preschool and EDP - Gloucester St.,Ottawa,Ottawa,K1R 5E8,2024-08-26,Dormant 4,No,0.00,4.00,
Manor Park Community Council,10255,Manor Park Child Care Centre,Ottawa,Ottawa,K1K )A4,2025-05-02,Active,No,20.00,375.00,
Tender Years Co-operative School Inc.,10260,Tender Years Co-operative School Inc.,Peel,Mississauga,L5C 1E9,2025-05-13,Active,No,29.08,186.33,
Centretown Parents Daycare - Preschool and EDP,10265,Centretown Parents Daycare - Preschool and EDP- James St.,Ottawa,Ottawa,K1R 5M3,2025-03-10,Dormant 2,No,7.00,44.50,
Service a L'enfance Aladin Childcare Services Inc.,10275,Aladin Childcare Services - Pleasant Park School Site,Ottawa,Ottawa,K1H 5N1,2025-01-06,Dormant 4,No,0.00,240.67,
Manor Park Community Council,10280,Before and Afterschool in Manor Park,Ottawa,Ottawa,K1K 3C9,2025-04-11,Dormant 1,No,19.25,74.67,
10646318 Canada Inc,10285,Eh to Zed Preschool Canada - Don Mills,Toronto,Toronto,M3C 3N7,,Inactive/New,No,0.00,0.00,
Centered on Children Child Care Centre,10290,Schomberg Village Childcare Centre,York Region,Schomberg,L0G 1T0,2024-02-16,Dormant 4,No,0.00,0.00,
Braeburn Neighbourhood Place INC,10295,Braeburn EarlyON - Kipling,Toronto,Etobicoke,M9W 4K9,2025-05-14,Active,No,9.00,38.00,
Light of the World Christian Childcare Centre,10300,Light of the World Christian Childcare Centre,Peel,Brampton,L6Z 4P8,2025-01-30,Dormant 3,No,0.00,57.66,
Memories and Milestones Child Care Centre,10305,Memories and Milestones Child Care Centre,Ottawa,Ottawa,K1S 0R8,2025-01-29,Dormant 3,No,0.00,7.00,
Abiona Centre,10310,Abiona Centre  EO - Broadview,Toronto,East York,M4K 2S5,2024-05-10,Dormant 4,No,0.00,7.00,
Lakeshore Area Multi-Service Project,10315,LAMP CHC - Lakeshore,Toronto,Etobicoke,M8W 1N1,2024-02-27,Dormant 4,No,0.00,0.00,
The Salvation Army,10320,Salvation Army Noahs Ark Day Care,Toronto,Brampton,L65 4B7,2024-05-31,Dormant 4,Yes,0.00,7.00,
Albiona Centre,10325,Abiona Centre (ELC) - Broadview,Toronto,East York,M4K 2S5,2025-05-23,Active,No,707.16,5871.98,
Skills for Change of Metro Toronto,10330,Skills for Change Care for Newcomer Children (CNC),Toronto,Toronto,M6C 1B7,2024-03-13,Dormant 4,No,0.00,0.00,
Macklin House KidZone,10335,Macklin House KidZone - Denison,York Region,Markham,L3S 2P6,2024-03-14,Dormant 4,Yes,0.00,0.00,
Northview Heights Early Learning Centre,10440,Northview Heights Early Learning Centre - North York,Toronto,North York,M2R 1N6,2025-03-26,Dormant 1,No,15.50,136.25,
York Township Nursery Schools Association ,10445,Hippo Nursery School,Toronto,Toronto,M6C 1B2,2025-03-31,Dormant 1,No,7.00,112.25,
Startright Child Care Centre,10450,Startright Child Care Centre,Toronto,North York,M6A 1L6,2024-06-28,Dormant 4,No,0.00,13.50,
Macklin House KidZone,10455,Macklin House KidZone - Adrienne Clarkson,York Region,Richmond Hill,L4B 1X3,2025-05-06,Active,Yes,8.25,190.17,
Jolly Juniors Childcare Academy,10460,Jolly Juniors Childcare Academy,Toronto,Etobicoke,M9P 3B6,2024-10-17,Dormant 4,No,0.00,75.00,
Me and My Friends Child Care,10465,Me and My Friends Child Care,Durham,Claremont,L1Y 1B3,2024-09-17,Dormant 4,No,0.00,14.00,
Lily Montessori Childcare Corp.,10500,Lily Montessori,Ottawa,Ottawa,K2H 8A6,2024-05-30,Dormant 4,No,0.00,139.58,
House of Wonder Early Learning Centre,10505,House of Wonder Early Learning Centre,Peel,Mississauga,L4Y 1Z1,2025-02-12,Dormant 3,No,6.00,65.17,
The Learning Garden,10510,The Learning Garden,Ottawa,Manotick,K4M 0E2,2024-04-23,Dormant 4,No,0.00,0.00,
We Care Childcare,10515,We Care Childcare,Toronto,Maple,L6A 4S9,2024-04-25,Dormant 4,No,0.00,0.00,
Woodgreen,10520,Woodgreen - Aquabella Child Care,Toronto,Toronto,M5A 1B6,2025-05-06,Active,Yes,46.79,948.83,
Forest Grove Montessori Preschool,10525,Forest Grove Montessori,Toronto,North York,M2K 1Z4,2024-05-24,Dormant 4,No,0.00,19.50,
Braeburn Neighbourhood Place INC,10540,Braeburn EarlyON - Tandridge,Toronto,Etobicoke,M9W 2N6,2024-07-27,Dormant 4,No,0.00,16.00,
Children's Montessori Day Care Inc.,10545,Children's Montessori Day Care  - Whitby,Durham,Whitby,L5N 3P2,2025-05-07,Active,No,14.00,181.25,
TNG Downsview Child Care,10550,TNG Downsview Child Care,Toronto,North York,M3M 2G7,2025-03-04,Dormant 2,No,3.50,97.50,
Davisville Care Programme Inc.,10555,Davisville Care Programme,Toronto,Toronto,M4S 1E8,2025-04-30,Active,No,16.00,476.25,
Liberty Preparatory School,10565,Liberty Preparatory School - Boston,Toronto,Toronto,M4M 2T9,2024-08-07,Dormant 4,No,0.00,13.50,
Westside Montessori School,10570,Westside Montessori School - Dufferin Grove,Toronto,Toronto,M6H 1G4,2024-08-16,Dormant 4,No,0.00,89.25,
Angus Valley Montessori Pickering,10575,Angus Valley Montessori Pickering,Durham,Pickering,L1X 0J1 ,2024-08-23,Dormant 4,No,0.00,146.59,
Westside Montessori School,10580,Westside Montessori School - Kensington Market,Toronto,Toronto,M5T 2N8,2024-08-15,Dormant 4,No,0.00,30.00,
Pickering Pentecostal Church Daycare Inc.,10585,Great Beginnings Child Care Centre,Durham,Pickering,L1W 3R6,2025-04-22,Active,No,161.97,821.34,
The Early Years Day Care Center Ltd,10590,Early Years Day Care Centre,York Region,Richmond Hill,L4S 1H9,2024-09-16,Dormant 4,No,0.00,210.75,
LEF - Toronto,10595,LEF - St. Maurice Child Care Centre,Toronto,Etobicoke,M9R 1T7,2025-02-21,Dormant 2,Yes,8.41,15.41,
Todays Child - Tomorrows Future Childrens Centre,10600,Blantyre,Toronto,Scarborough,M1N 2S4,2024-08-27,Dormant 4,No,0.00,7.00,
The South Drive Children's Circle,10605,The South Drive Children's Circle - Garfield,Toronto,Toronto,M4T 1E6,2025-05-15,Active,No,7.00,147.50,
Helping Hands Daycare,10610,Helping Hands Daycare - Bowmanville,Durham,Bowmanville,L1C 3K3,2024-09-06,Dormant 4,Yes,0.00,16.00,
The Orleans Preschool,10615,The Orleans Preschool,Ottawa,Ottawa,K1C 2X8,2025-05-16,Active,No,95.63,235.83,
North York Little Prints,10620,North York Prints - St. Cyril,Toronto,Toronto,M2N 2B9,2024-09-27,Dormant 4,No,0.00,3.50,
Macklin House KidZone,10625,Macklin House KidZone  - Sam Chapman,Toronto,Markham,L6E 2G1,2025-05-02,Active,Yes,0.00,8.00,
Social Enterprise for Canada,10630,Johnsview Public School,York Region,Thornhill,L3T 5C3,2025-05-21,Active,Yes,33.83,107.00,
Teddyville Daycare,10635,Teddyville Daycare,Ottawa,Ottawa,K2J 4S2,2024-10-25,Dormant 4,No,0.00,7.25,
Liberty Preparatory School,10640,Liberty Preparatory School - Parliament,Toronto,Toronto,M5A 2Z1,2024-11-12,Dormant 4,No,0.00,40.50,
LEF - Toronto,10641,LEF - CNC Child Care,Toronto,Toronto,M6M 4L8,2025-05-15,Active,Yes,0.00,10.00,
EPUC Childcare Centre,10642,EPUC Childcare Centre,Halton,Burlington,L7T 2C7,2024-11-25,Dormant 4,No,0.00,44.50,
Three R's Schoolhouse Inc.,10644,Three R's Schoolhouse Inc.,Toronto,Toronto,M9P 3C5,2025-03-06,Dormant 2,No,14.25,36.00,
Ancaster Forest and Nature School,10645,Ancaster Forest and Nature School,Hamilton,Ancaster,L9G 3L5,2025-05-20,Active,No,14.50,68.00,
Waldorf Academy Inc.,10650,Waldorf Academy,Toronto,Toronto,M4V 2W6,2025-05-20,Active,No,8.42,70.50,
The Neighbourhood Group Community Services,10700,The Neighbourhood Group Yonge and Sheppard Child Care Centre,Toronto,North York,M2N 2Z7,2025-04-11,Dormant 1,Yes,5.96,23.42,
Fitzrovia Bloomsbury Inc.,10702,Bloomsbury Academy,Toronto,Toronto,M5B 0B3,2025-05-30,Active,No,106.67,344.75,
The Montessori Schoolhouse,10706,The Montessori Schoolhouse,Toronto,Toronto,M6S 2Y6,2025-04-04,Dormant 1,No,4.88,9.75,
Kids Connection Care and Education,10708,Kids Connection C & E - Carnegie Childcare Centre,York,Vaughan,L6A 0G1,,Inactive/New,Yes,0.00,0.00,
East Scarborough Boys and Girls Club,10710,Chine Drive,Toronto,Scarborough,M1M 2K8,2025-02-12,Dormant 3,Yes,3.00,3.00,
East Scarborough Boys and Girls Club,10712,St. Ursula,Toronto,Scarborough,M1E 1L8,2025-02-26,Dormant 2,Yes,24.50,24.50,
East Scarborough Boys and Girls Club,10714,William G. Davis Kindergarten Extended Care Program,Toronto,Scarborough,M1C 3L6,2025-02-11,Dormant 3,Yes,3.50,3.50,
Kidtopia Child Care Centre,10716,Kidtopia Child Care Centre,Peel,Mississauga,L5N 2X7,2025-04-17,Dormant 1,No,7.50,15.00,
East Scarborough Boys and Girls Club,10718,St. Brendan Kindergarten Before & After School,Toronto,Scarborough,M1C 1Z7,2025-02-07,Dormant 3,Yes,3.00,3.00,
Social Enterprise for Canada,10720,Maple Leaf Before & After Care,York Region,Newmarket,L9N 0P7,2025-05-16,Active,Yes,34.25,68.50,
My Little Preschool,10722,My Little Preschool,Ottawa,Ottawa,K4M 0E2,2025-04-28,Active,No,6.00,12.00,
The Rec Room,10724,The Rec Room - Mimico,Toronto,Etobicoke,M8V 1R1,2025-05-30,Active,No,11.00,11.00,
Closer to Home Child Care Centre Ltd.,10726,Closer to Home Child Care Centre Ltd,Peel,Brampton,L6P 2P9,2025-04-14,Dormant 1,No,12.50,12.50,
Little Acorn Early Learning Centre,10728,Little Acorn Early Learning Centre,Ottawa,Gloucester,K1J 0B9,2025-04-30,Active,No,105.00,105.00,
Discovering Minds Montessori School Inc.,10730,Discovering Minds Montessori School,Toronto,Toronto,M6J 1C9,,Inactive/New,No,0.00,0.00,
Humbercrest Nursery School,10732,Humbercrest Nursery School,Toronto,Toronto,M6S 4A3,,Inactive/New,No,0.00,0.00,
Denisa Childcare,10734,Denisa Childcare,Toronto,Toronto,M2H 1B2,,Inactive/New,No,0.00,0.00,
The Progressive Montessori Academy,10736,The Progressive Montessori Academy,Stouffville ,Stouffville,L4A 1G4,2025-05-28,Active,No,0.00,0.00,
Early Years Education System, ,Eyes Daycare - Victoria Park,Toronto,Toronto,M4J 4Y2,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
1619722 Ontario LTD,,Eureka Montessori,York  ,Richmond Hill,L4E 3L3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
2206960 Ontario Ltd. - JINGBAO,,Jingbao Bilingual Montessori School,York Region,Richmond Hill,L4C 7A6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
2710010 Ontario Inc.,,Mini Einstein Daycare,York Region,Vaughan,L4J 3M9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
A Place to Play Nursery School of Bloor West Village,,A Place to Play Nursery School of Bloor West Village,Toronto,Toronto,M6S 2C8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
A Special Kind of Play Nursery School,,A Special Kind of Play Nursery School,Durham,Ajax,L1S 3R1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Abiona Centre,,Abiona Centre - Humewood,Toronto,Toronto,M6C 2W4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Advanced Care and Education Daycare,,Advanced Care and Education Daycare - Mississauga,Peel,Mississauga,L5M 0N8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Air-O-Down Child Care Centre,,Air-O-Down Child Care Centre,Toronto,Toronto,M3K 1W3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
All About Kids,,All About Kids - Sheppard,Toronto,North York,M2J 5B4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Allenby Daycare Inc.,,Allenby Daycare Inc.,Toronto,Toronto,M5N 1MZ,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Among Friends,,Best Friends,York Region,Aurora,L4G 2Z4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Between Friends,York Region,Markham,L3R 1Z9,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Blossoms,York Region,Unionville,L3R 2H2,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Christians,York Region,Richmond Hill,L4S 2H1,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Circle of Friends,York Region,Richmond Hill,L4B 2B1,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Corpus Christi,York Region,Richmond Hill,L4S 1C6,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Divine Mercy,York Region,Maple,L6A 1Z1,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Father Henri,York Region,Richmond Hill,L4C 0E6,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Fossil Hill,York Region,Woodbridge,L4H 2P5,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Friends,York Region,Stouffville,L4A 5Z4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Friendships,York Region,Markham,L3P 4P8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Glad Park,York Region,Stouffville,L4A 1E5,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Glenn Gould,York Region,Woodbridge,L4H 0G5,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Holy Spirit,York Region,Aurora,L4G 6Y7,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Nobleton,York Region,Nobleton,LOG 1N0,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Our Lady of Grace,York Region,Aurora,L4G 6C4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Pals,York Region,Markham,L3P 7M8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Pastimes,York Region,Unionville,L3R 7W8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,Rainbows,York Region,Markham,L3P 2S7,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,St Agnes of Assisi,York Region,Woodbridge,L4H 2A9,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,St Andrew,York Region,Woodbridge,L4H 1S4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,St. Anthony,York Region,Thornhill,L3T 3L3,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,St Brigid,York Region,Stouffville,L4A 2A1,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,St David,York Region,Maple,L6A 1A8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,St Emily,York Region,Woodbridge,L4H 2K8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,St Marguerite d’Youville,York Region,Richmond Hill,L4E 4L2,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,St Mark,York Region,Stouffville,L4A 1E4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,St Mary of the Angels,York Region,Woodbridge,L4H 0E4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,St. Michael Academy,York Region,Thornhill,L3T 4R6,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,St Raphael the Archangel,York Region,Maple,L6A 3Z6,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Among Friends,,St Stephen,York Region,Woodbridge,L4H 1Y8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Angus Valley  Montessori Vaughan,,Angus Valley Montessori Vaughan,York Region,Maple,L6A 0T9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Angus Valley Montessori Milton,,Angus Valley Montessori Milton,Halton,Milton,L9T 2M3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Apples & Angels Montessori School Inc.,,Apples & Angels Montessori School Inc.,Halton,Georgetown,L7G 3H5,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Aspiring Academics Preschool Inc.,,Aspiring Academics Preschool Inc. - Kingston,Toronto,Toronto,M1N 1V2,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Aurora Childrens Centre Inc,,Aurora Childrens Centre Inc,York Region,Aurora,L4G 4C4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Autumn Hill Academy,,Autumn Hill Academy,York Region,Concord,L4K 5M4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Avalon Childrens Montessori School,,Avalon Childrens Montessori School,Toronto,Toronto,M1N 2V8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Balloons CDC,,Eco Kids-Child Care Centre,Toronto,Etobicoke,M9B 3N7,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Beyond Our Dreams Preschool and Daycare,,Beyond Our Dreams Preschool and Daycare,Durham,Courtice,L1E 2N1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
BlissRoot Childcare Centre,,BlissRoot Childcare Centre,York,Keswick,L4P 2H4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Bloomfield Junior Academy Montessori School,,Bloomfield Junior Academy Montessori School,York,Richmond Hill,L4E 2H8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Blossoming Minds Learning Centre Inc.,,Blossoming Minds Learning Centre Inc.,Toronto,Toronto,M4J 1N4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Boardwalk Montessori School,,Boardwalk Montessori School,Toronto,Toronto,M4L 1J1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Bridges Kinder Connection Daycare,,Bridges Kinder Connection Daycare,Durham,Ajax,L1T 0B8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Bridgeway Famiy Centre,,BFC - Mineola,Peel,Mississauga,L5G 1Z4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Bridgway Family Centre,,BFC - Riverside,Peel,Mississauga,L5H 2E8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
BrightPath - Toronto,,BrightPath Eglinton,Toronto,Etobicoke,M9C 5K5,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
BrightPath Kids,,BrightPath Kids,Hamilton,Waterdown,L0R 2H0,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Brightpath Peel,,Brightpath Avondale,Peel,Peel,L6T 1H1,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Brooklin Day Nursery,,Brooklin Day Nursery,Durham,Whitby,L1M IA5,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Brooklin Day Nursery,,Brooklin Day Nursery,,,,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Bumble Bee Garden Child Care Ltd.,,Bumble Bee Garden Child Care,Toronto,Toronto,M6J 1X8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Calvary Baptist Church,,Kleinburg Early Learning Centre,York Region,Kleinburg,L0J 1C0,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Cardinal Carter Childcare Centre,,Cardinal Carter Childcare Centre,York Region,Aurora,L4G 0P9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Carousel Child Care,,Carousel Child Care,Toronto,Toronto,M6G 2B1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Castle Park Playschool,,Castle Park Playschool,Toronto,Toronto,M4L 1H9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Centennial Infant Child Centre,,Centennial Infant Child Centre,Toronto,Toronto,M4T 1Z8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Centered on Children Child Care Centre,,St. Patrick Before and After School Program,York Region,Schomberg,L0G 1T0,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Centre For Early Childhood Education,,Centre For Early Childhood Education,Toronto,Etobicoke,M9W 2H8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Centre Youville Centre,,Youville Centre,Ottawa,Ottawa,K1N 8P4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Children’s Town Playcare Center,,Children’s Town Playcare Center,Durham,Oshawa,L1K 3B3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Children's Garden Nursery School,,Children's Garden Nursery School,Toronto,Toronto,M4G 3E4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Colors at Danton Inc.,,Colors at Danton Childcare and Montessori,Peel,Mississauga,L5N 5N4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Community Development Council Durham,,Community Development Council Durham,Durham,Ajax,L1S 1R6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Community of Maple Child Care Services,,Community of Maple CCS - Blessed Trinity,York Region,Maple,L6A 2R2,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
